product_name,Vertical,product_url,City,Price (USD),product_description,product_number_of_review,product_Number_of_bookings,,,
【台北熱門景點推薦】台北 101 觀景台門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/8332,台北,17.38,台北必去景點台北 101 觀景台，在 KKday 網路訂票，比現場買還划算！當日預訂可當日使用，只需持憑證裡的序號到自動售票機兌換，不用花時間現場排隊買票，體驗世界超快的電梯，抵達 89 樓觀景台，享受大台北城市繁榮街景。,-4176,158.0K+ 個已訂購,,,
【新竹熱門主題樂園】六福村主題遊樂園門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/6370,新竹,19,事先預訂 KKday 六福村門票，享有比現場更優惠的票價，趕緊和三五好友一同玩遍台灣首座結合動物生態與娛樂休閒之主題遊樂園，也是韓國綜藝節目 Running Man 來台拍攝指定樂園，KKday x 六福集團獨家合作推出外國人指定電子門票，讓你輕鬆超值玩六福村 水樂園。,-618,5.4K+ 個已訂購,,,
【宜蘭龜山島賞鯨】宜蘭龜山島登島賞鯨半日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/5297,宜蘭,25,參與龜山島賞鯨半日遊，前往宜蘭位於太平洋上的天然地標，從烏石港乘船出海，尋找飛旋海豚和鯨魚的巨大的身影，還可登上龜山島，環島欣賞美麗的八景，全程在專業導遊的講解下，體驗不一樣的宜蘭驚奇出海之旅，每年 3 至 11 月更是賞鯨旺季，趕緊前來一睹牠們活躍海上的風采！,-481,1.7K+ 個已訂購,,,
【台灣最大水族館】屏東墾丁海生館優惠門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/9468,墾丁,13.52,墾丁必遊——國立海洋生物博物館，三大主題館 - 台灣水域館、珊瑚王國館、世界水域館，還有歡樂餵食秀與魚共舞表演，讓您大人小孩一票暢玩、探索海底世界的奧妙！,-625,5.0K+ 個已訂購,,,
【台北包車一日遊】暢遊九份、平溪、北海岸熱門景點（中、英、韓語服務）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2885,"台北, 多個城市",103,選擇台北 8 小時包車，平溪、十分瀑布、北海岸、九份任你選，也可另作彈性安排，一天走完台北近郊熱門景點，不用煩惱火車公車交通轉乘、浪費寶貴旅遊時間。,-3741,20.3K+ 個已訂購,,,
【潛進太平洋海域】蘭嶼一對一體驗潛水,Activities & Experiences,https://www.kkday.com/zh-tw/product/21343,蘭嶼,78.68,位在太平洋上的蘭嶼，黑潮流經讓水溫終年都有 20 度以上，也帶來豐富的海底生態。低度的人為開發使得蘭嶼的水下仍然保留著完整的自然生態，能見度 30 - 50 公尺，清澈深藍的海水顏色是蘭嶼海域獨有。來到蘭嶼體驗潛水，一對一教練陪同，無經驗、不會游泳也能擁有開心的水下回憶。,-1,,,,
【暑期限定親子同遊】2019 宜蘭國際童玩藝術節預售門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/12221,宜蘭,6.44,2019宜蘭國際童玩藝術節，邀您背上冒險的背包！讓我們一起憶想著當年的萌樣，再一次來到冬山河親水公園，找回屬於你我心中的童年！帶著小朋友全家一起在宜蘭冬山河歡度最開心的暑假假期，留下愉快的美好回憶！,-66,935 個已訂購,,,
【全台唯一海陸空主題樂園】台中麗寶樂園門票（台灣旅客限定）,Attraction & Shows,https://www.kkday.com/zh-tw/product/19796,台中,20.92,事先預訂台中麗寶樂園門票，盡情暢遊集結海陸空設施的全方位主題樂園，挑戰全台唯一斷軌式雲霄飛車與自由落體的超速快感，體驗全亞洲第一座滑翔機設施，宛如飛行員般乘風而行，乘坐全台最高的天空之夢摩天輪，一覽台中市區景色，還可進入機關重重的親水城堡與迷宮，無論大人、小孩都能盡情玩樂，享受美好時光！,-45,377 個已訂購,,,
【自駕遊金門】當地租車好便利(機場取車/碼頭取車),Local Transfer,https://www.kkday.com/zh-tw/product/19851,金門,48.28,透過KKDAY來個金門自駕遊的小旅行，一到金門即可取車，自在的開車前往這些金門熱門景點，金門比台灣本島還早建立傳統閩南與西式洋樓等特色建築，除了古蹟、歷史和各種大小不同的風獅爺，還有戰地遺留下來的美麗坑道，都是必去熱門參觀景點，開車暢遊金門，不再為旅途中的交通和天氣打亂行程。,-2,,,,
【台中清境交通】台中機場、火車站、高鐵站到清境民宿共乘接送服務,Local Transfer,https://www.kkday.com/zh-tw/product/1756,"台中, 多個城市",14.48,來往台中清境共乘接送服務，台中機場、火車站及高鐵站皆可出發，輕鬆舒適的前往台中清境民宿，回程亦可接送，車上提供免費 Wi-Fi，沿路與親朋好友分享清境美景。,-892,5.5K+ 個已訂購,,,
【雪霸國家公園】 新竹雪霸觀霧、野馬瞰山森林逍遙一日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/9916,"台北, 多個城市",38.59,迷霧、雲海、晚霞、日出、森林、巨木、星空、聖稜線，共構出雪霸八景。春有百花秋有月、夏有涼風冬有雪，如同仙境般的世外桃源、山中的秘密花園，讓您朝看日出、夕觀霞海、夜攬星辰，一次盡覽雪霸最純淨的自然之美。,-39,178 個已訂購,,,
【雲林二日遊】黃金雨落阿勃勒・夢幻湧翠閣・湖山後花園・劍湖潭上遇華山・古坑咖啡植物染,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/24474,雲林,90.09,參加KKday雲林二日行程，由專車接送您至各個景點以及飯店，豐富的行程帶您走訪雲科大阿勃勒看黃金雨落、湧翠閣的日式建築、華山休閒農業區做植物染DIY以及華山咖啡大街的休閒時光。,,,,,
【苗栗美人湯】泰安湯悅溫泉雙人獨立湯屋＋和漢料理套餐兩客,Activities & Experiences,https://www.kkday.com/zh-tw/product/18663,苗栗,54.68,前進泰安湯悅溫泉會館，享受「泰安第一湯」日式雙人獨立湯屋，感受宛如隱身山林般的泰安美人湯。湯悅會館的泉質為無色無味的碳酸氫鈉泉質，浴後肌膚滑嫩細緻，還能優雅地享用美味的和漢料理，放鬆度過寧靜舒適的時光。,-8,,,,
【清境美食推薦】老英格蘭莊園精緻午餐 / 英式下午茶餐券,F&B,https://www.kkday.com/zh-tw/product/19940,南投,17.7,透過 KKday 網路獨家預訂老英格蘭莊園餐券，你可選擇精緻午餐或英式下午茶方案，在清幽美麗的南投清境，感受濃濃的歐式悠閒氛圍；不需耗時現場排隊候位，即可享受維吉諾餐廳用心烹調的脆皮豬腳、火烤馬告鮪魚戰斧，或三層英式下午茶鹹甜食塔，在優雅的莊園裡度過美好假期時光。,-62,280 個已訂購,,,
【天燈之鄉品味平溪】六扇門茶館：平溪茶＋茶點＋天燈套餐,F&B,https://www.kkday.com/zh-tw/product/20470,"台北, 多個城市",15.1,六扇門茶館在走進大門之前，會發現門口古色古香的六扇門，恰好融合了平溪老街的復古元素。老闆將店內打造成古早味碗盤及平溪老照片的小型博物館，成為平溪老街上沏茶聊天的好去處。 窗外綠意盎然的景色、溪流，在平溪特有的自然氛圍中，緩下煩躁的心情，沉醉在古早味濃厚的六扇門。,-3,,,,
【台灣租車推薦】五人座轎車 / 七人座商務車租車自駕,Local Transfer,https://www.kkday.com/zh-tw/product/4451,"台北, 多個城市",45.04,全台租車推薦！都會小車 5 人座， 平日只要 NT$1399。來 KKday 預訂租車，抵達站點可立即交車，無需擔心到現場沒車窘境，由熱情工作人員協助您取還車，輕鬆體驗環台自駕樂趣。,-234,1.0K+ 個已訂購,,,
【與鯨豚奇遇】花蓮賞鯨遊船半日遊（含花蓮市免費接送）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/1875,花蓮,27.36,參加花蓮賞鯨遊船半日遊，將有專車前往飯店或民宿接駁，帶你前往遊船指定地點，出海近距離追尋鯨豚的身影，你將有機會看到壯觀的海豚成群結隊躍出海面，或者是巨大的抹香鯨和魟魚等美麗海洋生物；每年 4 至 10 月尤其是花蓮賞鯨豚的最佳時機，趕緊前來體驗乘風破浪的刺激，欣賞花蓮外海得天獨厚的天然美景，享受難忘的賞鯨出航之旅。,-381,1.5K+ 個已訂購,,,
【綠島高速船票】台東富岡港至綠島來回船票,Local Transfer,https://www.kkday.com/zh-tw/product/21841,"台東, 多個城市",28.97,透過 KKday 提前預訂綠島船票，省去現場排隊卻買不到船票的煩惱。訂單成立後即進入訂票程序，免去親自聯繫船家的麻煩，省時又便利。,-18,,,,
【夏日前進火燒島】綠島浮潛兩天一夜套裝行程,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2409,綠島,105.9,在夏天的綠島滿溢著青春，處處可見穿著T恤、短褲，不畏烈日的旅人探索著火燒島，騎著摩托車，穿梭在山、海間，讓我們一起在綠島浮潛、泡湯、看日出，熱血這一次吧！,-7,,,,
【桃園機場共乘接送】桃園機場 (TPE) － 新北＆台北地區定點共乘接送服務,Local Transfer,https://www.kkday.com/zh-tw/product/20840,"台北, 多個城市",14.48,透過KKday預訂新北與台北到桃園機場共乘接送，輕鬆來回機場與市區，不用擔心帶著行李的通勤過程，舒適又快速，推薦給需要往返台北桃園機場交通的旅客。,-107,346 個已訂購,,,
覺醒音樂祭 WAKE UP FEST 2019 最後預售票(附贈獨家聯名防水手機套),Attraction & Shows,https://www.kkday.com/zh-tw/product/23430,嘉義,98.17,WAKE UP覺醒音樂祭 X KKday聯名推薦的【威卡十年】#沒有買到票的朋友，僅剩KKday有最後預售票，官方已完售！＃十年大彩蛋：草東沒有派對，確定出演！源自2009年一群缺乏資源的嘉義17歲高中生，因為缺乏演出機會而自行舉辦的音樂祭，歷經十年的演進，成為指標性的國際音樂祭！2018年，更榮獲波蘭媒體《beehype》，評比為「世界上六月份最好的音樂節」之一 。買票就送獨家聯名商品：一個「WAKE UP X KKday防水手機套」 一套「WAKE UP十週年限定貼紙」(一套共4張)。手機套有A款：不怕水的大西瓜、B款：不怕水的扶桑花，限量1500份！售完不再補！請開搶！,,,,,
【觸摸餵食梅花鹿】墾丁鹿境梅花鹿生態園區門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/2125,墾丁,5.79,事先購買墾丁鹿境梅花鹿生態園區門票，比現場買更划算，一起來南台灣近距離接觸梅花鹿吧！鹿境梅花鹿生態園區環境整潔，門票還可以兌換飼料餵食梅花鹿，並能與親人的梅花鹿們盡情拍照！現場的解說員也都非常樂於分享相關知識，適合各年齡層的大人、小孩一起來體驗！,-109,527 個已訂購,,,
【獨特阿里山火車旅行】阿里山森林鐵路與祝山線小火車二日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/5310,嘉義,112.65,包含阿里山最具特色的 2 條森林小火車路線：阿里山森鐵本線及祝山日出線，帶你體驗森林小火車與祝山日出美景。尤其春天之際，沿途經過群櫻綻放美不勝收，是台灣賞花季節不可錯過的美景。,-229,1.1K+ 個已訂購,,,
【蘭嶼高速船票】台東富岡港／墾丁後壁湖至蘭嶼來回船票,Local Transfer,https://www.kkday.com/zh-tw/product/21686,"屏東, 多個城市",74.03,不論是台東或是墾丁的船班皆可選擇，透過 KKday 提前預訂蘭嶼船票，省去現場排隊卻買不到船票的煩惱。訂單成立後即進入訂票程序，免去親自聯繫船家的麻煩，省時又便利。,-16,,,,
【澎湖最美麗海灣】吉貝嶼船票＋機車＋特色活動（水上活動 / 海釣 / 抱墩）,Activities & Experiences,https://www.kkday.com/zh-tw/product/6795,澎湖,11.27,澎湖北方最大最美的島嶼 - 吉貝島，是偶像劇「 海豚灣戀人 」的拍攝地點，名聞遐邇的大片的吉貝沙尾沙灘，柔白細緻，碧海藍天無限蔓延的海岸線，適合潛水、游泳、水上活動，快來度假天堂吉貝島吧！,-74,404 個已訂購,,,
【台南必遊藝術景點】奇美博物館常設展／特展門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/24598,台南,4.83,全台首座以西洋藏品展示為主題的博物館，外觀充滿濃厚風味的異國建築及石像，讓你有猶如身處在歐洲，館內展出囊括藝術、歷史、人類學與科學四大範疇，落實藝術共享的願景。在KKday預先訂購奇美博物館門票，現場出示電子憑證即可換票入場。,-1,,,,
【最HITO的水上活動】小琉球與海龜共游浮潛體驗之旅,Activities & Experiences,https://www.kkday.com/zh-tw/product/23499,"屏東, 多個城市",8.05,浮潛是來到小琉球遊玩人氣最高的活動之一，每年都吸引了數以百計的遊客前來參與，目的是為了欣賞美麗的海景及成群的魚兒最重要的當然是能夠與海龜共游。,-4,,,,
【綠島海底探險】藍洞秘境探險,Activities & Experiences,https://www.kkday.com/zh-tw/product/24844,綠島,19.31,綠島除了是台灣的潛水勝地之外，還有神秘美麗的藍洞水域是比較少人知道的秘境，由教練帶領體驗，一同深入探訪綠島最美的天然海蝕洞。,,,,,
【台南藝術文化村】十鼓仁糖文創園區入場門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/21264,台南,12.2,十鼓仁糖文創園區位於台南市郊區，提供了民眾一座親近文化藝術的新天地，園區佔地約 7.5 公頃，共有 22 座日據時代所建築之舊倉庫，2005 年重新規劃，將昔日台灣糖業公司仁德車路墘糖廠，賦予百年歷史的糖廠風華重現，融入十鼓獨創之台灣特色鼓樂，化身為亞洲第一座鼓樂主題國際藝術村。,-137,538 個已訂購,,,
【北海岸交通接駁】台北－基隆正濱漁港、神秘海岸來回接駁專車（保證有位）,Local Transfer,https://www.kkday.com/zh-tw/product/20795,"台北, 多個城市",15.45,搭乘 KKday 專屬北海岸交通接駁專車，一人即可輕鬆出發！從台北市區捷運西門站上車前往繽紛的寧靜小港－正濱漁港，在金山水尾漁港的神秘海岸，眺望遼闊的太平洋，無須煩惱複雜交通即可暢遊北海岸。,-46,144 個已訂購,,,
【台灣美食餐廳推薦】胡同燒肉-全台分店餐飲兌換券 (需電話預約),F&B,https://www.kkday.com/zh-tw/product/23825,"台北, 多個城市",30.26,號稱為「全台灣最好吃的燒肉店」的胡同燒肉，在中央廚房的嚴格品管把關下，讓客人吃得安心、健康，以最堅持的態度，提供客人最衛生，最頂級的食材，為客人的健康嚴格把關。,-9,,,,
【輕鬆欣賞海底世界】 小琉球玻璃船半潛艇體驗,Activities & Experiences,https://www.kkday.com/zh-tw/product/22421,琉球,9.65,小琉球為台灣唯一的珊瑚礁島，精心打造傾斜玻璃視窗的海底觀光玻璃半潛艇，讓遊客可以不必下水，俯視玻璃窗即可一覽海底風情，遨遊海底美不勝收的珊瑚礁、百餘種的生物景觀，讓您大開眼界！運氣好還能看見小琉球的明星－綠蠵龜的身影。,-7,,,,
【澎湖南海跳島必備】七美、望安跳島船票＋交通,Local Transfer,https://www.kkday.com/zh-tw/product/22315,澎湖,22.53,來到澎湖絕不能錯過的跳島行程，KKday 提供南海二島七美及望安船票及交通組合，你可騎乘機車暢遊雙心石滬、小台灣、古厝、天台山等景點，亦可選擇遊覽車方案與親朋好友同坐，如厭倦了水上活動，不仿來體驗自然風景與人文古蹟。,-108,476 個已訂購,,,
【走訪海岸秘境】基隆和平島公園電子門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/23472,基隆,2.22,全球最美日出景點之一－基隆和平島公園，島上的地形因為受到長期的風化侵蝕與浪濤衝擊，因此形成了蕈狀石、豆腐岩、海蝕洞與海蝕平台等奇特的地質景觀，且海洋與陸地交會之處形成潮間帶，孕育豐富多樣的生命。除了自然生態之外，亦有戶外水池供遊客戲水，在 KKday 預訂不用現場排隊，快速又方便！,-8,,,,
【與海龜有約】小琉球體驗潛水（免潛水執照）,Activities & Experiences,https://www.kkday.com/zh-tw/product/23476,"屏東, 多個城市",80.47,在小琉球潛水最迷人的地方，是各式各樣讓人大開眼界的海底生物。不管是軟珊瑚搖曳或是如花開般綻放的珊瑚管蟲、色彩鮮豔的海蛞瑜及小丑魚，最令人驚奇的是海龜在您眼前肆無忌憚的游來游去等等。當您在海裡與這些迷人的生物共游時，才能更加體會牠們與在影片或水族箱中所看的不同，感受他們可愛之處。,-5,,,,
【彰化鹿港半日遊】鹿港天后宮、鹿港老街、民俗文物館、摸乳巷（台中出發）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/24947,彰化,11.59,參加 KKday 專屬鹿港復古半日遊，一人亦可輕鬆出遊，從台中市區搭乘專車，前往古蹟林立、文化古都的鹿港，見證香火鼎盛的鹿港天后宮、走在新舊並存的鹿港老街，品嚐各式各樣獨特的小吃美食，別再費時規劃如何前往鹿港，放心跟著 KKday 專車暢玩中台灣必遊的經典路線。,,,,,
【桃園機場接送】桃園機場(TPE) －台中地區,Local Transfer,https://www.kkday.com/zh-tw/product/19092,"台中, 多個城市",70.81,預訂桃園機場專車接送，輕鬆往返台中地區，你可選擇五或八人座車，一下飛機即由專業司機載你至指定地點，解決拖帶行李轉乘交通工具的不便，亦提供台中市區到機場的送機服務，讓你享受安心有保障的接駁交通。,-179,759 個已訂購,,,
【北海岸交通接駁】台北－象鼻岩、潮境公園來回接駁專車（保證有位）,Local Transfer,https://www.kkday.com/zh-tw/product/20743,"台北, 多個城市",15.45,搭乘 KKday 專屬北海岸交通接駁專車，一人即可輕鬆出發！從台北市區捷運西門站上車前往北海岸熱門景點象鼻岩及潮境公園，享受一望無際的海岸線，回程還可以選擇於基隆廟口下車，品嚐道地台灣美食，無須煩惱複雜交通即可暢遊北海岸。,-66,235 個已訂購,,,
【墾丁交通票券】墾丁快線來回票、墾丁好行套票（高雄出發）,Local Transfer,https://www.kkday.com/zh-tw/product/6597,"高雄, 多個城市",19.31,透過 KKday 預訂墾丁快線套票，享有比現場購票更優惠之價格，你可選擇從高雄左營高鐵站或小港機場出發，直奔南台灣度假勝地——墾丁！另可選購墾丁街車二日券，連續兩天內內不限次數搭乘墾丁街車，快速又方便地前往各大景點，輕鬆解決墾丁自由行交通問題。,-168,1.2K+ 個已訂購,,,
【台灣雙鐵五日周遊券】－ 台鐵＋高鐵不限次數搭乘 (外國人限定),Local Transfer,https://www.kkday.com/zh-tw/product/22063,"台北, 多個城市",90.12,台灣高鐵（THSR）推出雙鐵五日遊優惠套組， 搭乘首日(含)起算5日內之任選2日無限搭乘高鐵，快速抵達台灣各大城市，另外還能連續計算5日內無限搭乘台鐵，快透過KKday訂購，輕鬆暢遊全台灣。,-6,,,,
【專車直達墾丁民宿】高雄到墾丁共乘接送服務,Local Transfer,https://www.kkday.com/zh-tw/product/2595,"高雄, 多個城市",12.5,高雄到墾丁共乘接送服務，舒適專車帶你直達墾丁民宿或高雄接送點，左營高鐵站、高雄火車站、高雄市區內酒店或民宿皆可接送，約2個小時車程，行駛南台灣美麗的海岸公路，讓你沿途欣賞海岸美景！,-603,3.6K+ 個已訂購,,,
【一起去看戲】臺北戲棚傳統藝術表演門票,Attraction & Shows,https://www.kkday.com/zh-tw/product/18141,台北,15.13,臺北戲棚每週一三五六登場，演出融合京劇、民俗技藝、雜技、民俗音樂、原住民歌舞、歌仔戲、武術和布袋戲等豐富元素，表演者還會走出後台，與觀眾近距離互動，讓你看到演員幕前幕後的不同樣貌，感受傳統表演藝術的美！,-362,1.7K+ 個已訂購,,,
【玩遍墾丁熱門景點】墾丁拼車一日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2285,墾丁,21.95,墾丁拼車一日遊，一次玩遍 9 個墾丁熱門景點！從墾丁民宿載你出發，一路玩船帆石、鵝鑾鼻公園、貓鼻頭、白沙灣等，解決騎機車要曬太陽、自駕找不到路的困擾，短短一天暢遊墾丁毫不費力。,-246,1.2K+ 個已訂購,,,
【穿旗袍遊古城】台南安平 旗跑 － 旗袍租借體驗,Activities & Experiences,https://www.kkday.com/zh-tw/product/18078,台南,20.92,到台南穿上復古旗袍，體驗古城新玩法，旗袍租借當日你可挑選喜愛的旗袍款式和合適配件，依約準時前來即提供免費盤髮服務，讓女孩從頭到腳展現濃濃復古風，華麗走在全台古蹟密度最高的安平拍照、品嚐美食，徹底融入古都氛圍！,-59,250 個已訂購,,,
【新竹日月光大飯店】豪華雙人房／豪華家庭4人房住宿券(含早餐4客),Activities & Experiences,https://www.kkday.com/zh-tw/product/25575,新竹,96.53,日月光國際飯店-新竹館(HOTELj)於2012年重新開幕，位處於新竹市區，步行10分鐘即可抵達巨城購物中心、車程7分鐘可至新竹火車站；全館擁有60間精緻豪華客房，提供優質的住宿環境及五星級的服務品質。現在透過 KKday 線上購買「豪華雙人房＼豪華家庭4人房住宿券」，您只需出示手機上的電子憑證即可用優於現場的優惠價格感受如家一般溫暖舒適的環境。,,,,,
【台南文青小旅行】深度玩台南包車一日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/2953,台南,122.31,台南是台灣最早開發區域，整個台南看起來舊舊的，卻有迷人的氣息，就如同「 老酒成甕底，越成越香 」，現在的台南有最新的奇美博物館、最老的瓦盤鹽田，新與舊的融合一點也不衝突，如果來到台南沒有交通工具，不仿包車深度玩台南，一日時間帶你吃美食探索台南景點。,-46,193 個已訂購,,,
【來到宜蘭踏踏青】宜蘭太平山森林秘境一日遊,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/34,"台北, 多個城市",36.84,來到宜蘭太平山，可以觀賞到森林自然之美，多種動植物生態以及美麗的自然景觀，像是全台最大的高山翠峰湖，你可以走在環山步道，讓雲霧飄渺的美景環繞於眼前，來到宜蘭踏踏青，不要錯過這個森林秘境。,-260,847 個已訂購,,,
【東北角龍洞灣】離台北最近的體驗潛水 － 52龍洞潛水中心,Activities & Experiences,https://www.kkday.com/zh-tw/product/21652,新北市,64.37,52龍洞潛水中心距離台北僅有一個小時車程，交通方便且門口即有大眾運輸站牌，龍洞灣為鼻頭峽與龍洞峽中間的一個海灣，特殊的地形能抵擋洶湧的潮流，吸引豐富的海洋生態在此棲息發展，且灣內風浪平靜適合從事潛水活動，此地點為北部熱門的潛水景點，適合新手也適合各種進階玩家挑戰！,-4,,,,
【台灣苗栗特色體驗】卓也小屋・藍染方巾體驗＋下午茶套餐,Activities & Experiences,https://www.kkday.com/zh-tw/product/22778,苗栗,19.28,卓也小屋位於三義山中，除了最知名的山居民宿外，最大亮點莫過於藍染體驗；源自自家種植的藍草製成的染料親自染作出代表自己風格的作品，除了藍染體驗之外，還有美味的下午茶可以享用，讓你感受不一樣的傳統台灣在地體驗,-1,,,,
【嘉義阿里山一日遊】阿里山森林遊樂區、阿里山小火車、奮起湖便當、奮起湖老街（嘉義出發）,Tours & Sightseeing,https://www.kkday.com/zh-tw/product/10460,嘉義,64.35,參加嘉義阿里山一日遊，搭乘專車從嘉義市區出發，前往奮起湖走逛老街，享用知名的奮起湖便當；午後漫步阿里山森林遊樂區，還可體驗遊園小火車沼平線與神木線，感受高海拔的山區美景，一睹神聖的神木風采，悠閒享受阿里山的大自然氛圍！,-106,533 個已訂購,,,
